"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1896","M","M","M","M","M","M","M","0.90","1.68","4.59","9.55","9.00","M"
"1897","4.91","4.48","5.32","1.99","1.89","M","3.86","0.53","2.01","2.24","9.86","5.90","M"
"1898","3.96","6.13","5.28","3.35","1.79","4.71","1.08","0.87","3.28","3.80","8.88","4.76","47.89"
"1899","6.44","8.42","2.11","5.59","6.58","2.42","M","5.17","M","3.98","10.08","8.52","M"
"1900","6.38","5.94","2.93","3.05","M","4.27","1.08","2.64","2.36","6.19","M","3.15","M"
"1901","1.81","3.33","4.17","3.30","3.49","2.90","0.91","0.01","2.79","4.15","8.26","4.16","39.28"
"1902","M","4.07","M","3.33","3.84","0.80","2.54","2.27","3.64","M","7.81","6.62","M"
"1903","6.47","0.96","5.28","M","2.77","2.48","0.88","1.83","8.33","3.65","7.25","4.83","M"
"1904","6.08","7.00","5.16","3.19","0.98","3.19","1.12","M","1.37","2.18","6.35","5.39","M"
"1905","3.39","1.92","3.32","1.40","3.81","M","1.54","1.96","5.39","4.92","4.91","6.35","M"
"1906","3.74","2.91","1.28","1.07","5.71","4.28","0.51","0.35","M","8.46","6.01","6.32","M"
"1907","3.32","6.57","3.18","3.15","0.63","M","0.74","1.72","3.75","1.03","7.62","3.63","M"
"1908","2.79","M","M","M","3.46","M","1.29","1.83","0.45","6.24","4.10","4.20","M"
"1909","3.49","4.90","M","2.00","2.01","0.49","1.86","0.35","2.53","M","11.18","4.75","M"
"1910","M","M","4.06","3.65","3.47","3.04","0.59","1.85","2.27","8.43","6.37","8.25","M"
"1911","7.69","3.63","1.59","2.28","5.56","1.29","0.60","2.96","5.27","1.08","M","9.89","M"
"1912","4.48","3.25","1.60","2.92","3.67","3.02","1.18","5.74","1.40","3.49","5.45","6.47","42.67"
"1913","8.92","2.96","2.62","1.36","2.01","4.27","1.57","2.16","M","7.31","6.15","2.34","M"
"1914","7.08","3.42","3.11","4.37","1.38","4.84","0.02","0.30","5.64","3.42","M","2.83","M"
"1915","6.48","3.36","4.04","M","2.45","0.41","2.06","M","1.22","10.49","5.07","7.46","M"
"1916","2.07","M","8.93","3.05","3.94","1.97","4.32","0.35","2.00","2.95","4.92","5.77","M"
"1917","8.17","4.81","5.30","5.11","1.58","6.57","0.69","0.54","1.98","3.50","4.91","18.50","61.66"
"1918","9.37","5.05","3.58","1.12","2.87","1.00","3.22","4.07","M","6.96","5.63","7.35","M"
"1919","5.49","4.66","5.21","4.30","3.52","1.40","1.20","0.50","2.69","3.80","6.96","3.92","43.65"
"1920","10.97","2.06","6.84","4.72","2.10","1.92","0.98","2.58","7.46","7.69","4.39","6.24","57.95"
"1921","6.70","6.53","3.91","5.73","1.57","3.04","0.05","1.99","4.50","5.10","8.30","5.33","52.75"
"1922","3.84","2.80","4.33","4.58","M","0.13","0.00","3.34","6.19","4.49","M","M","M"
"1923","8.90","M","M","2.25","M","M","2.12","1.17","2.79","3.62","4.67","M","M"
"1924","M","5.62","2.69","4.54","0.21","2.45","1.94","1.11","2.04","4.78","6.72","11.47","M"
"1925","M","2.67","4.99","2.96","2.48","0.43","0.39","1.53","1.15","5.28","M","8.79","M"
"1926","5.91","5.04","1.47","2.30","5.23","0.73","0.04","2.76","3.09","4.86","4.12","8.11","43.66"
"1927","M","3.23","3.63","M","M","0.57","M","2.27","3.84","M","9.91","M","M"
"1928","M","M","5.61","M","M","M","M","M","M","M","M","M","M"
"1929","2.87","M","M","M","M","1.55","0.13","M","M","M","M","M","M"
"1930","2.92","6.07","M","M","1.99","1.61","0.00","M","4.65","6.34","M","3.87","M"
"1931","M","3.44","M","M","1.68","6.67","0.77","0.35","M","M","M","5.44","M"
"1932","4.44","6.13","11.12","M","0.63","1.59","4.56","M","1.88","6.31","12.83","9.21","M"
"1933","7.24","3.80","6.10","2.50","3.98","2.33","1.42","1.59","5.76","6.10","5.56","12.39","M"
"1934","8.65","1.60","4.68","2.11","3.59","M","1.32","0.74","M","3.15","6.25","7.06","M"
"1935","12.60","1.95","M","3.86","0.68","M","1.58","1.00","2.42","3.87","2.77","2.86","M"
"1936","8.50","7.07","M","M","4.85","M","1.00","0.81","2.86","1.06","1.34","5.98","M"
"1937","2.71","5.53","M","M","2.03","6.99","M","1.87","1.69","3.81","8.75","4.83","M"
"1938","4.11","2.06","3.11","4.11","2.03","0.20","0.24","0.34","1.43","3.55","4.20","9.68","M"
"1939","M","M","M","1.68","M","M","M","0.41","1.06","4.31","5.29","5.57","M"
"1940","2.43","4.59","7.16","2.48","2.72","0.52","1.48","0.45","M","5.93","3.92","4.97","M"
"1941","2.83","1.57","M","M","M","M","M","2.18","M","M","5.46","M","M"
"1942","M","2.30","3.25","2.36","M","M","M","1.14","M","3.66","M","M","M"
"1943","M","2.23","3.23","3.18","3.24","2.46","1.84","1.30","M","4.59","1.10","4.31","M"
